Boulanger Bordeaux Villenave D'Ornon;Boulanger Bordeaux Villenave D'Ornon;Actif;Rue Lino VENTURA;;33140;Bordeaux-Villenave D Ornon;44.78995883625464;-0.5275602340698242;Societe;347384570 ;34738457001068 ;Prospect;;;;;;F236;Ouvert
Boulanger Cholet;Boulanger Cholet;Actif;24 rue des Pagannes;Centre Commercial Carrefour;49300;Cholet;47.073839711237504;-0.8477063179016113;Societe;347384570 ;34738457001001 ;Prospect;;;;;;F238;Ouvert
Boulanger Poitiers - Chasseneuil Du Poitou;Boulanger Poitiers - Chasseneuil Du Poitou;Actif;12 Bis Allée du Haut Poitou;Portes du futur;86360;Chasseneuil Du Poitou;46.6487050504273;0.36006574615021236;Societe;347384570 ;34738457001183 ;Prospect;;;;;;F242;Ouvert
Boulanger Colomiers - Toulouse;Boulanger Colomiers - Toulouse;Actif;Rue Marie Curie;ZAC du Perget;31770;Colomiers;43.60968258082417;1.3091473042907182;Societe;347384570 ;34738457001357 ;Prospect;;;;;;F244;Ouvert
Boulanger St Nazaire trignac;Boulanger St Nazaire trignac;Actif;Rue des Aigrettes;Centre Commercial Gand Large Auchan;44570;St Nazaire / Trignac;47.29324646263292;-2.2113475799560547;Societe;347384570 ;34738457001381 ;Prospect;;;;;;F245;Ouvert
Boulanger Chambray Les Tours - Tours Sud;Boulanger Chambray Les Tours - Tours Sud;Actif;108 Avenue du grand Sud;;37170;Chambray Les Tours;47.3387451171875;0.703994750976562;Societe;347384570 ;34738457001407 ;Prospect;;;;;;F252;Ouvert
Boulanger Toulon - La Garde;Boulanger Toulon - La Garde;Actif;156 Avenue De Draguignan;Carrefour des 4 chemins Z.I. Toulon Est;83130;La Garde;43.13804970658374;6.027464151382446;Societe;347384570 ;34738457001449 ;Prospect;;;;;;F253;Ouvert
Boulanger Brest;Boulanger Brest;Actif;105, rue Pierre Jakez Hélias;Les portes de Brest-Guipavas-Le Froutven;29490;Guipavas;48.41555460763598;-4.437508870361398;Societe;347384570 ;34738457001464 ;Prospect;;;;;;F256;Ouvert
Boulanger Toulouse- Saint Orens;Boulanger Toulouse- Saint Orens;Actif;1 bis allée des Champs Pinsons;Face au centre commercial Leclerc;31650;Saint Orens De Gameville;43.5640384;1.5169316999999864;Societe;347384570 ;34738457001472 ;Prospect;;;;;;F257;Ouvert
Boulanger Béziers;Boulanger Béziers;Actif;155 rue Jean Bruller dit Vercors;C/C GEANT CASINO DE MONTIMARAN;34500;Beziers;43.34335281250269;3.259534447360238;Societe;347384570 ;34738457001571 ;Prospect;;;;;;F260;Ouvert
Boulanger Chalon-Sur-Saone;Boulanger Chalon-Sur-Saone;Actif;2 rue René Cassin;Centre Commercial Châlon 2 Sud;71100;Chalon-Sur-Saone;46.78076171875;4.85394287109375;Societe;347384570 ;34738457001597 ;Prospect;;;;;;F263;Ouvert
Boulanger Aubiere;Boulanger Aubiere;Actif;10, rue des Chazots;;63170;Aubiere;45.75114139999999;3.1346997000000556;Societe;347384570 ;34738457001613 ;Prospect;;;;;;F265;Ouvert
Boulanger Annemasse;Boulanger Annemasse;Actif;53 route de Thonon;Centre Commercial Géant;74100;Annemasse;46.19490925475406;6.256267786026001;Societe;347384570 ;34738457001670 ;Prospect;;;;;;F266;Ouvert
Boulanger Limoges;Boulanger Limoges;Actif;30 rue Amédée Gordini;Centre Commercial Family Village;87000;Limoges;45.896244998373575;1.2796759317382111;Societe;347384570 ;34738457001688 ;Prospect;;;;;;F267;Ouvert
Boulanger Barentin;Boulanger Barentin;Actif;R.N. 15;Zone Commerciale Mesnil Roux;76360;Barentin;49.53158228385867;0.9703178405761719;Societe;347384570 ;34738457001704 ;Prospect;;;;;;F268;Ouvert
Boulanger Perigueux - Trelissac;Boulanger Perigueux - Trelissac;Actif;C. Cial La Feuilleraie;LD le moulin des Mounards;24750;Trelissac;45.18838860433012;0.7634888146972116;Societe;347384570 ;34738457001654 ;Prospect;;;;;;F269;Ouvert
Boulanger Biganos - Arcachon;Boulanger Biganos - Arcachon;Actif;"Centre commercial ""Les Portes du Delta""";5 rue Louis Nicolas Robert;33380;Biganos;44.63499379882129;-0.9595725395920454;Societe;347384570 ;34738457001647 ;Prospect;;;;;;F270;Ouvert
Boulanger La Rochelle Angoulins;Boulanger La Rochelle Angoulins;Actif;Espace Commercial d'Angoulins;;17690;ANGOULINS;46.10075437326752;-1.0958404541015625;Societe;347384570 ;34738457001662 ;Prospect;;;;;;F271;Ouvert
Boulanger Le Havre - Montivilliers;Boulanger Le Havre - Montivilliers;Actif;Avenue du Maréchal Foch;C.Cial Grand Havre - La Lézarde;76290;Montivilliers;49.52254359319816;0.1917681439331318;Societe;347384570 ;34738457001761 ;Prospect;;;;;;F272;Ouvert
Boulanger Auxerre;Boulanger Auxerre;Actif;Rue Bronislaw Geremek;ZAC Les Clairions;89000;Auxerre;47.815700778931095;3.5670995712280273;Societe;347384570 ;34738457001746 ;Prospect;;;;;;F273;Ouvert
Boulanger Perpignan;Boulanger Perpignan;Actif;Centre commercial Porte d'ESPAGNE Le Mas Galté;En face de Leroy Merlin;66000;Perpignan;42.668761311311904;2.8791992887634023;Societe;347384570 ;34738457001787 ;Prospect;;;;;;F274;Ouvert
Boulanger Rivesaltes;Boulanger Rivesaltes;Actif;Rue Henri Chretien;Parc d'Activité Commerciale;66600;Rivesaltes;42.77436695219502;2.907033920288086;Societe;347384570 ;34738457001753 ;Prospect;;;;;;F275;Ouvert
Boulanger Puget-Sur-Argens;Boulanger Puget-Sur-Argens;Actif;Z.A. La Tuilière - RN7;EN FACE HYPERMARCHE CARREFOUR;83480;Puget-Sur-Argens;43.442698371246024;6.702791090087885;Societe;347384570 ;34738457001860 ;Prospect;;;;;;F276;Ouvert
Boulanger Agen;Boulanger Agen;Actif;Parc commercial O’Green;ZAC Lamothe Magnac - 2 Rue J. Lacroix;47550;Boe;44.17839034629416;0.6287358227370987;Societe;347384570 ;34738457001951 ;Prospect;;;;;;F277;Ouvert
Boulanger Chambéry;Boulanger Chambéry;Actif;1253 Avenue des Landiers;Centre commercial Chamnord;73000;Chambery;45.594363;5.899624;Societe;347384570 ;34738457001977 ;Prospect;;;;;;F278;Ouvert
Boulanger Chasse-Sur-Rhone;Boulanger Chasse-Sur-Rhone;Actif;1799 avenue Frédéric Mistral;Centre commercial Chasse Sud;38670;Chasse-Sur-Rhône;45.573349;4.810658200000034;Societe;347384570 ;34738457001944 ;Prospect;;;;;;F279;Ouvert
Boulanger Niort;Boulanger Niort;Actif;1 Rue Jean Baptiste Colbert;Espace Mendes France 2;79000;Niort;46.3380254;-0.40703770000004624;Societe;347384570 ;34738457001936 ;Prospect;;;;;;F286;Ouvert
Boulanger Nice;Boulanger Nice;Actif;Centre commercial Nice One - Stade de Nice Allianz Riviera;Rue Alain Mimoun;6200;Nice;43.704679228613905;7.194309697292283;Societe;347384570 ;34738457002058 ;Prospect;;;;;;F287;Ouvert
Boulanger Anglet;Boulanger Anglet;Actif;77 Avenue de Bayonne;Centre Commercial Géant Casino Anglet;64600;Anglet;43.48495627663006;-1.50276980000001;Societe;347384570 ;34738457002033 ;Prospect;;;;;;F289;Ouvert
Boulanger Toulouse - Fenouillet;Boulanger Toulouse - Fenouillet;Actif;Espace Fenouillet,centre commercial Géant, Rue des Usines;;31150;Fenouillet;43.6932630278796;1.400459289410378;Societe;347384570 ;34738457001985 ;Prospect;;;;;;F300;Ouvert
